row,col,type
11633,11715,5
11633,7356,5
11633,11936,5
11633,11960,5
11633,12125,5
11633,12248,5
11633,12374,5
11633,12434,5
11633,12534,5
11633,8323,5
11633,12548,5
11633,12599,5
11633,12660,5
11633,12739,5
11633,8685,5
11633,13756,5
11633,13802,5
11633,13946,5
11633,13955,5
11633,13971,5
11633,9877,5
11633,13983,5
11633,14147,5
11633,14408,5
11633,14414,5
11633,14473,5
11633,14480,5
11633,10382,5
11633,14504,5
11633,14505,5
11633,10412,5
11633,14506,5
11633,14532,5
11633,14598,5
11633,14599,5
11633,14691,5
11633,10887,5
11633,11138,5
11633,15321,5
11633,15464,5
6701,11655,5
6701,7061,5
6701,11706,5
6701,11708,5
6701,11709,5
6701,7356,5
6701,11753,5
6701,11754,5
6701,11796,5
6701,11798,5
6701,7458,5
6701,7468,5
6701,11832,5
6701,11868,5
6701,11898,5
6701,11899,5
6701,7549,5
6701,7562,5
6701,11953,5
6701,11979,5
6701,11986,5
6701,12008,5
6701,7728,5
6701,12049,5
6701,12100,5
6701,7815,5
6701,12133,5
6701,12213,5
6701,7975,5
6701,8049,5
6701,8112,5
6701,12414,5
6701,12423,5
6701,12425,5
6701,8166,5
6701,12431,5
6701,8168,5
6701,12442,5
6701,12446,5
6701,12491,5
6701,12534,5
6701,8324,5
6701,12548,5
6701,8328,5
6701,12562,5
6701,12563,5
6701,12566,5
6701,8339,5
6701,12596,5
6701,12599,5
6701,12675,5
6701,8547,5
6701,8548,5
6701,12767,5
6701,12776,5
6701,8676,5
6701,12900,5
6701,12927,5
6701,12967,5
6701,12990,5
6701,8926,5
6701,13064,5
6701,13202,5
6701,13203,5
6701,8966,5
6701,13236,5
6701,13238,5
6701,13241,5
6701,13242,5
6701,13347,5
6701,13416,5
6701,13470,5
6701,9466,5
6701,13518,5
6701,13539,5
6701,13600,5
6701,13611,5
6701,13719,5
6701,13756,5
6701,9668,5
6701,13762,5
6701,9703,5
6701,13796,5
6701,9864,5
6701,13999,5
6701,14029,5
6701,9944,5
6701,14046,5
6701,14049,5
6701,14063,5
6701,14064,5
6701,14072,5
6701,14078,5
6701,14095,5
6701,14096,5
6701,10022,5
6701,14132,5
6701,14187,5
6701,14252,5
6701,14285,5
6701,10219,5
6701,14315,5
6701,14316,5
6701,14347,5
