row,col,val,type
0,1,0.984304,4
0,2,0.863782,4
0,1239,0.005983,4
0,1628,0.002277,4
0,1692,0.001011,4
0,2001,0.003121,4
0,2481,0.001787,4
0,3370,0.002882,4
0,3631,0.003265,4
0,4515,0.001217,4
0,4617,0.002741,4
0,4712,0.001419,4
0,5598,0.004061,4
0,5795,0.001384,4
0,5830,0.001642,4
0,6355,0.006053,4
1,2,0.877814,4
1,1239,0.005818,4
1,1628,0.002061,4
1,1692,0.001121,4
1,2001,0.00305,4
1,2481,0.001669,4
1,3370,0.002293,4
1,3631,0.003217,4
1,4515,0.001187,4
1,4617,0.002357,4
1,4712,0.001577,4
1,5598,0.00373,4
1,5795,0.001049,4
1,5830,0.00167,4
1,5982,0.001237,4
1,6355,0.006178,4
2,1239,0.007317,4
2,1628,0.002325,4
2,2001,0.003752,4
2,4712,0.00463,4
2,5598,0.004696,4
2,5732,0.00192,4
2,5795,0.003626,4
2,5982,0.00141,4
2,6304,0.00183,4
2,6355,0.010567,4
3,4,0.978288,4
3,5,1,4
3,6,0.165914,4
3,4127,0.002288,4
3,5185,0.0025,4
3,5469,0.004612,4
3,5625,0.007532,4
3,5661,0.001516,4
4,5,0.978288,4
4,6,0.169667,4
4,4127,0.002154,4
4,5185,0.0013,4
4,5469,0.005015,4
4,5625,0.006591,4
4,5661,0.001551,4
5,6,0.165914,4
5,4127,0.002288,4
5,5185,0.0025,4
5,5469,0.004612,4
5,5625,0.007532,4
5,5661,0.001516,4
6,3569,0.005711,4
6,4127,0.001825,4
6,5185,0.002348,4
7,2142,0.001528,4
7,4027,0.004904,4
7,4456,0.004881,4
7,4474,0.006252,4
7,4900,0.00197,4
7,5153,0.00519,4
7,5340,0.010966,4
7,6665,0.002854,4
8,653,0.062323,4
8,1190,0.023149,4
8,1709,0.070896,4
8,2239,0.013602,4
8,3391,0.047022,4
8,4173,0.047022,4
8,6489,0.001407,4
9,1964,0.005606,4
9,2367,0.003165,4
9,2486,0.003689,4
9,2501,0.002862,4
9,3358,0.005435,4
9,3565,0.005457,4
9,4664,0.002158,4
10,11,0.524421,4
10,12,0.036947,4
10,13,0.024367,4
10,14,0.036566,4
10,15,0.315399,4
10,16,0.034841,4
10,17,0.032604,4
10,18,0.035086,4
10,19,0.036142,4
10,20,0.036142,4
10,21,0.036142,4
10,22,0.036142,4
10,23,0.036206,4
10,24,0.036029,4
10,25,0.035522,4
10,26,0.036451,4
10,27,0.036212,4
10,28,0.30359,4
10,29,0.036277,4
10,30,0.036212,4
10,31,0.036083,4
10,32,0.524421,4
10,33,0.522592,4
10,613,0.001395,4
10,1014,0.004031,4
10,1763,0.00827,4
10,2182,0.001365,4
10,2490,0.00389,4
10,2795,0.006643,4
10,2902,0.001019,4
10,3774,0.001618,4
10,4783,0.003535,4
10,5386,0.007351,4
10,5931,0.001543,4
10,5994,0.005931,4
10,6617,0.003149,4
11,12,0.019375,4
11,13,0.012778,4
11,14,0.019176,4
11,15,0.174853,4
11,16,0.018271,4
11,17,0.018336,4
11,18,0.0184,4
11,19,0.018953,4
11,20,0.018953,4
11,21,0.018953,4
11,22,0.018953,4
11,23,0.018987,4
11,24,0.018894,4
11,25,0.018628,4
11,26,0.019115,4
11,27,0.01899,4
11,28,0.178192,4
11,29,0.019024,4
11,30,0.01899,4
11,31,0.018923,4
11,32,0.891228,4
11,33,0.801397,4
11,1014,0.002114,4
11,1154,0.001868,4
11,1715,0.01346,4
11,1763,0.020293,4
11,1806,0.027212,4
11,2011,0.015751,4
11,2067,0.01098,4
11,2795,0.005183,4
11,2902,0.002141,4
11,3658,0.020909,4
11,4495,0.016529,4
11,5169,0.002102,4
11,5386,0.002676,4
11,5924,0.008572,4
11,5994,0.001501,4
11,6617,0.00329,4
12,13,0.794594,4
12,14,0.993671,4
12,15,0.107296,4
12,16,0.95724,4
12,17,0.954052,4
12,18,0.963158,4
12,19,0.942367,4
12,20,0.942367,4
12,21,0.942367,4
12,22,0.942367,4
12,23,0.940788,4
12,24,0.939411,4
12,25,0.927601,4
12,26,0.934463,4
12,27,0.948357,4
12,28,0.107823,4
12,29,0.946766,4
12,30,0.945264,4
12,31,0.929969,4
12,32,0.019375,4
12,33,0.01872,4
12,588,0.004018,4
12,589,0.003736,4
12,590,0.003921,4
12,591,0.003089,4
12,592,0.002905,4
12,1014,0.054416,4
12,1154,0.009945,4
12,1653,0.001788,4
12,1763,0.025156,4
12,2182,0.020275,4
12,2251,0.002781,4
12,2490,0.002757,4
12,2795,0.037631,4
12,2902,0.019355,4
12,3515,0.033417,4
12,3774,0.038768,4
12,3826,0.006003,4
12,4783,0.02483,4
12,4955,0.030071,4
12,5084,0.002237,4
12,5169,0.010924,4
12,5386,0.025572,4
12,5488,0.015357,4
12,5509,0.060678,4
12,5547,0.01896,4
12,5931,0.031114,4
12,5994,0.003378,4
12,6593,0.043013,4
12,6617,0.013072,4
12,6629,0.004323,4
12,6643,0.062346,4
12,6694,0.109727,4
13,14,0.803895,4
13,15,0.070374,4
13,16,0.759404,4
13,17,0.757224,4
13,18,0.764645,4
13,19,0.745957,4
13,20,0.745957,4
13,21,0.745957,4
13,22,0.745957,4
13,23,0.742489,4
13,24,0.741232,4
13,25,0.735565,4
13,26,0.742685,4
13,27,0.754674,4
13,28,0.070866,4
13,29,0.75359,4
13,30,0.752255,4
13,31,0.739992,4
13,32,0.012778,4
13,33,0.012204,4
13,588,0.005022,4
13,589,0.004507,4
13,590,0.004731,4
13,591,0.003727,4
13,592,0.003505,4
13,613,0.001077,4
13,1014,0.071926,4
13,1154,0.015631,4
13,1653,0.003299,4
13,1763,0.0381,4
13,2182,0.025985,4
13,2251,0.003971,4
13,2490,0.003985,4
13,2795,0.052282,4
13,2902,0.03073,4
13,3515,0.041132,4
13,3774,0.049638,4
13,3826,0.008875,4
13,4783,0.034342,4
13,4955,0.04213,4
13,5084,0.002855,4
13,5169,0.016965,4
13,5386,0.038881,4
13,5488,0.022976,4
13,5509,0.080601,4
13,5547,0.023796,4
13,5931,0.04282,4
13,5994,0.004672,4
13,6593,0.059786,4
13,6617,0.021014,4
13,6629,0.005042,4
13,6643,0.082127,4
13,6694,0.142546,4
14,15,0.106177,4
14,16,0.951057,4
14,17,0.947895,4
14,18,0.956967,4
14,19,0.936372,4
14,20,0.936372,4
14,21,0.936372,4
14,22,0.936372,4
14,23,0.934814,4
14,24,0.933434,4
14,25,0.921655,4
14,26,0.928534,4
14,27,0.942293,4
14,28,0.106704,4
14,29,0.940718,4
14,30,0.93922,4
14,31,0.924019,4
14,32,0.019176,4
14,33,0.018522,4
14,588,0.00405,4
14,589,0.003761,4
14,590,0.003947,4
14,591,0.00311,4
14,592,0.002925,4
14,1014,0.055269,4
14,1154,0.010309,4
14,1653,0.001821,4
14,1763,0.025549,4
14,2182,0.021336,4
14,2251,0.002811,4
14,2490,0.002817,4
14,2795,0.038084,4
14,2902,0.019782,4
14,3515,0.034245,4
14,3774,0.039904,4
14,3826,0.006193,4
14,4783,0.025574,4
14,4955,0.030469,4
14,5084,0.002256,4
14,5169,0.011692,4
14,5386,0.025986,4
14,5488,0.016051,4
14,5509,0.060058,4
14,5547,0.019604,4
14,5931,0.032229,4
14,5994,0.003428,4
14,6593,0.043714,4
14,6617,0.013428,4
14,6629,0.004578,4
14,6643,0.061709,4
14,6694,0.111111,4
15,16,0.105992,4
15,17,0.101455,4
15,18,0.106742,4
15,19,0.109971,4
15,20,0.109971,4
15,21,0.109971,4
15,22,0.109971,4
15,23,0.110168,4
15,24,0.109626,4
15,25,0.110602,4
15,26,0.110913,4
15,27,0.110177,4
15,28,0.962566,4
15,29,0.110374,4
15,30,0.110177,4
15,31,0.11235,4
15,32,0.174853,4
15,33,0.173705,4
15,1014,0.003837,4
15,1154,0.002931,4
15,1763,0.008609,4
15,2251,0.004782,4
15,2490,0.001373,4
15,2795,0.004509,4
15,2902,0.003527,4
15,4783,0.004146,4
15,4955,0.001771,4
15,5169,0.005091,4
15,5386,0.004839,4
15,5824,0.003394,4
15,5994,0.001135,4
15,6253,0.001605,4
15,6593,0.001759,4
15,6617,0.005941,4
16,17,0.996915,4
16,18,0.990763,4
16,19,0.970945,4
16,20,0.970945,4
16,21,0.970945,4
16,22,0.970945,4
16,23,0.969423,4
16,24,0.9679,4
16,25,0.955663,4
16,26,0.963313,4
16,27,0.976962,4
16,28,0.106578,4
16,29,0.975437,4
16,30,0.973875,4
16,31,0.961559,4
16,32,0.018271,4
16,33,0.017621,4
16,588,0.004258,4
16,589,0.00393,4
16,590,0.004125,4
16,591,0.00325,4
16,592,0.003056,4
16,1014,0.057214,4
16,1154,0.010811,4
16,1653,0.002022,4
16,1763,0.025986,4
16,2182,0.022908,4
16,2251,0.002624,4
16,2490,0.003176,4
16,2795,0.040258,4
16,2902,0.020739,4
16,3515,0.036035,4
16,3774,0.041006,4
16,3826,0.00843,4
16,4783,0.026116,4
16,4955,0.032372,4
16,5084,0.002381,4
16,5169,0.011078,4
16,5386,0.027552,4
16,5488,0.014972,4
16,5509,0.062187,4
16,5547,0.019134,4
16,5931,0.033529,4
16,5994,0.004182,4
16,6593,0.043748,4
16,6617,0.014538,4
16,6629,0.003866,4
16,6643,0.06439,4
16,6694,0.113744,4
17,18,0.987671,4
17,19,0.967794,4
17,20,0.967794,4
17,21,0.967794,4
17,22,0.967794,4
17,23,0.966277,4
17,24,0.964764,4
17,25,0.952568,4
17,26,0.960153,4
17,27,0.973814,4
17,28,0.101985,4
17,29,0.972278,4
17,30,0.97073,4
17,31,0.958426,4
17,32,0.018336,4
17,33,0.017685,4
17,588,0.004235,4
17,589,0.003911,4
17,590,0.004105,4
17,591,0.003234,4
17,592,0.003042,4
17,1014,0.058312,4
17,1154,0.01061,4
17,1653,0.002001,4
17,1763,0.025749,4
17,2182,0.023094,4
17,2251,0.002678,4
17,2490,0.003262,4
17,2795,0.04105,4
17,2902,0.020491,4
17,3515,0.036446,4
17,3774,0.041288,4
17,3826,0.008311,4
17,4783,0.025703,4
17,4955,0.032679,4
17,5084,0.002367,4
17,5169,0.01141,4
17,5386,0.027871,4
17,5488,0.014936,4
17,5509,0.062398,4
17,5547,0.018938,4
17,5931,0.033775,4
17,5994,0.00424,4
17,6593,0.043848,4
17,6617,0.014668,4
17,6629,0.003924,4
17,6643,0.064608,4
17,6694,0.114606,4
18,19,0.973862,4
18,20,0.973862,4
18,21,0.973862,4
18,22,0.973862,4
18,23,0.97233,4
18,24,0.970812,4
18,25,0.958571,4
18,26,0.966199,4
18,27,0.983032,4
18,28,0.107327,4
18,29,0.981495,4
18,30,0.97993,4
18,31,0.967566,4
18,32,0.0184,4
18,33,0.01775,4
18,588,0.004213,4
18,589,0.003892,4
18,590,0.004085,4
18,591,0.003219,4
18,592,0.003027,4
18,1014,0.057789,4
18,1154,0.010869,4
18,1653,0.001876,4
18,1763,0.025993,4
18,2182,0.022512,4
18,2251,0.002732,4
18,2490,0.002642,4
18,2795,0.040974,4
18,2902,0.020874,4
18,3515,0.036413,4
18,3774,0.040651,4
18,3826,0.007637,4
18,4783,0.026041,4
18,4955,0.031868,4
18,5084,0.002354,4
18,5169,0.010775,4
18,5386,0.026671,4
18,5488,0.015554,4
18,5509,0.06261,4
18,5547,0.017853,4
18,5931,0.033157,4
18,5994,0.004116,4
18,6593,0.042915,4
18,6617,0.014462,4
18,6629,0.003983,4
18,6643,0.064257,4
18,6694,0.114078,4
19,20,1,4
19,21,1,4
19,22,1,4
19,23,0.998434,4
19,24,0.996866,4
19,25,0.984481,4
19,26,0.992151,4
19,27,0.962547,4
19,28,0.110553,4
19,29,0.960978,4
19,30,0.959455,4
19,31,0.947183,4
19,32,0.018954,4
19,33,0.018303,4
19,588,0.004057,4
19,589,0.003765,4
19,590,0.003951,4
19,591,0.003113,4
19,592,0.002928,4
19,1014,0.055691,4
19,1154,0.010202,4
19,1653,0.001997,4
19,1763,0.02431,4
19,2182,0.02244,4
19,2251,0.00235,4
19,2490,0.002968,4
19,2795,0.040319,4
19,2902,0.019558,4
19,3515,0.033859,4
19,3774,0.040144,4
19,3826,0.007761,4
19,4783,0.024537,4
19,4955,0.030648,4
19,5084,0.002262,4
19,5169,0.010394,4
19,5386,0.025728,4
19,5488,0.014844,4
19,5509,0.056908,4
19,5547,0.017806,4
19,5931,0.033378,4
19,5994,0.003579,4
19,6593,0.040473,4
19,6617,0.014643,4
19,6629,0.003349,4
19,6643,0.058506,4
19,6694,0.108101,4
20,21,1,4
20,22,1,4
20,23,0.998434,4
20,24,0.996866,4
20,25,0.984481,4
20,26,0.992151,4
20,27,0.962547,4
20,28,0.110553,4
20,29,0.960978,4
20,30,0.959455,4
20,31,0.947183,4
20,32,0.018954,4
20,33,0.018303,4
20,588,0.004057,4
20,589,0.003765,4
20,590,0.003951,4
20,591,0.003113,4
20,592,0.002928,4
20,1014,0.055691,4
20,1154,0.010202,4
20,1653,0.001997,4
20,1763,0.02431,4
20,2182,0.02244,4
20,2251,0.00235,4
20,2490,0.002968,4
20,2795,0.040319,4
20,2902,0.019558,4
20,3515,0.033859,4
20,3774,0.040144,4
20,3826,0.007761,4
20,4783,0.024537,4
20,4955,0.030648,4
20,5084,0.002262,4
20,5169,0.010394,4
20,5386,0.025728,4
20,5488,0.014844,4
20,5509,0.056908,4
20,5547,0.017806,4
20,5931,0.033378,4
20,5994,0.003579,4
20,6593,0.040473,4
20,6617,0.014643,4
20,6629,0.003349,4
20,6643,0.058506,4
20,6694,0.108101,4
21,22,1,4
21,23,0.998434,4
21,24,0.996866,4
21,25,0.984481,4
21,26,0.992151,4
21,27,0.962547,4
21,28,0.110553,4
21,29,0.960978,4
21,30,0.959455,4
21,31,0.947183,4
21,32,0.018954,4
21,33,0.018303,4
21,588,0.004057,4
21,589,0.003765,4
21,590,0.003951,4
21,591,0.003113,4
21,592,0.002928,4
21,1014,0.055691,4
21,1154,0.010202,4
21,1653,0.001997,4
21,1763,0.02431,4
21,2182,0.02244,4
21,2251,0.00235,4
21,2490,0.002968,4
21,2795,0.040319,4
21,2902,0.019558,4
21,3515,0.033859,4
21,3774,0.040144,4
21,3826,0.007761,4
21,4783,0.024537,4
21,4955,0.030648,4
21,5084,0.002262,4
21,5169,0.010394,4
21,5386,0.025728,4
21,5488,0.014844,4
21,5509,0.056908,4
21,5547,0.017806,4
21,5931,0.033378,4
21,5994,0.003579,4
21,6593,0.040473,4
21,6617,0.014643,4
21,6629,0.003349,4
21,6643,0.058506,4
21,6694,0.108101,4
22,23,0.998434,4
22,24,0.996866,4
22,25,0.984481,4
22,26,0.992151,4
22,27,0.962547,4
22,28,0.110553,4
22,29,0.960978,4
22,30,0.959455,4
22,31,0.947183,4
22,32,0.018954,4
22,33,0.018303,4
22,588,0.004057,4
22,589,0.003765,4
22,590,0.003951,4
22,591,0.003113,4
22,592,0.002928,4
22,1014,0.055691,4
22,1154,0.010202,4
22,1653,0.001997,4
22,1763,0.02431,4
22,2182,0.02244,4
22,2251,0.00235,4
22,2490,0.002968,4
22,2795,0.040319,4
22,2902,0.019558,4
22,3515,0.033859,4
22,3774,0.040144,4
22,3826,0.007761,4
22,4783,0.024537,4
22,4955,0.030648,4
22,5084,0.002262,4
22,5169,0.010394,4
22,5386,0.025728,4
22,5488,0.014844,4
22,5509,0.056908,4
22,5547,0.017806,4
22,5931,0.033378,4
22,5994,0.003579,4
22,6593,0.040473,4
22,6617,0.014643,4
22,6629,0.003349,4
22,6643,0.058506,4
22,6694,0.108101,4
23,24,0.998436,4
23,25,0.986046,4
23,26,0.993718,4
23,27,0.964077,4
23,28,0.110749,4
23,29,0.962513,4
23,30,0.960981,4
23,31,0.948706,4
23,32,0.018987,4
23,33,0.018337,4
23,588,0.004046,4
23,589,0.003755,4
23,590,0.003942,4
23,591,0.003106,4
23,592,0.002921,4
23,1014,0.055434,4
23,1154,0.010216,4
23,1653,0.001933,4
23,1763,0.024194,4
23,2182,0.022533,4
23,2251,0.002307,4
23,2490,0.00295,4
23,2795,0.040063,4
23,2902,0.019591,4
23,3515,0.034061,4
23,3774,0.040286,4
23,3826,0.007566,4
23,4783,0.024334,4
23,4955,0.030524,4
23,5084,0.002255,4
23,5169,0.010087,4
23,5386,0.025512,4
23,5488,0.014664,4
23,5509,0.056739,4
23,5547,0.017564,4
23,5931,0.033502,4
23,5994,0.003521,4
23,6593,0.04027,4
23,6617,0.01454,4
23,6629,0.003377,4
23,6643,0.058337,4
23,6694,0.107503,4
24,25,0.984498,4
24,26,0.99218,4
24,27,0.96262,4
24,28,0.110207,4
24,29,0.961054,4
24,30,0.959533,4
24,31,0.947279,4
24,32,0.018894,4
24,33,0.018246,4
24,588,0.004045,4
24,589,0.003753,4
24,590,0.003939,4
24,591,0.003103,4
24,592,0.002919,4
24,1014,0.055517,4
24,1154,0.01017,4
24,1653,0.001991,4
24,1763,0.024234,4
24,2182,0.022369,4
24,2251,0.002343,4
24,2490,0.002959,4
24,2795,0.040192,4
24,2902,0.019496,4
24,3515,0.034187,4
24,3774,0.040018,4
24,3826,0.007463,4
24,4783,0.02446,4
24,4955,0.030552,4
24,5084,0.002254,4
24,5169,0.009898,4
24,5386,0.025648,4
24,5488,0.014475,4
24,5509,0.05727,4
24,5547,0.017457,4
24,5931,0.033273,4
24,5994,0.0034,4
24,6593,0.040346,4
24,6617,0.014597,4
24,6629,0.003339,4
24,6643,0.05887,4
24,6694,0.107763,4
25,26,0.982955,4
25,27,0.953543,4
25,28,0.111213,4
25,29,0.951993,4
25,30,0.95048,4
25,31,0.938303,4
25,32,0.018628,4
25,33,0.017979,4
25,588,0.004134,4
25,589,0.003827,4
25,590,0.004017,4
25,591,0.003165,4
25,592,0.002976,4
25,1014,0.055974,4
25,1154,0.010283,4
25,1653,0.002072,4
25,1763,0.023756,4
25,2182,0.022394,4
25,2251,0.002278,4
25,2490,0.002637,4
25,2795,0.040492,4
25,2902,0.019542,4
25,3515,0.0326,4
25,3774,0.040721,4
25,3826,0.007108,4
25,4783,0.022451,4
25,4955,0.031546,4
25,5084,0.002307,4
25,5169,0.010253,4
25,5386,0.025525,4
25,5488,0.016264,4
25,5509,0.0554,4
25,5547,0.017922,4
25,5931,0.034019,4
25,5994,0.003523,4
25,6593,0.038003,4
25,6617,0.014079,4
25,6629,0.003465,4
25,6643,0.056963,4
25,6694,0.105095,4
26,27,0.960903,4
26,28,0.111496,4
26,29,0.959324,4
26,30,0.957805,4
26,31,0.945533,4
26,32,0.019115,4
26,33,0.018463,4
26,588,0.004037,4
26,589,0.003749,4
26,590,0.003935,4
26,591,0.0031,4
26,592,0.002915,4
26,1014,0.055094,4
26,1154,0.010506,4
26,1653,0.001815,4
26,1763,0.024039,4
26,2182,0.023573,4
26,2251,0.002507,4
26,2490,0.003044,4
26,2795,0.040116,4
26,2902,0.020033,4
26,3515,0.034137,4
26,3774,0.042571,4
26,3826,0.006939,4
26,4783,0.024745,4
26,4955,0.030923,4
26,5084,0.002249,4
26,5169,0.010439,4
26,5386,0.025904,4
26,5488,0.014675,4
26,5509,0.055505,4
26,5547,0.017138,4
26,5931,0.035635,4
26,5994,0.003417,4
26,6593,0.039992,4
26,6617,0.014379,4
26,6629,0.003798,4
26,6643,0.057092,4
26,6694,0.108009,4
27,28,0.110767,4
27,29,0.998417,4
27,30,0.996836,4
27,31,0.984243,4
27,32,0.01899,4
27,33,0.018331,4
27,588,0.004177,4
27,589,0.003869,4
27,590,0.004061,4
27,591,0.003199,4
27,592,0.003009,4
27,1014,0.05688,4
27,1154,0.010245,4
27,1653,0.001975,4
27,1763,0.025327,4
27,2182,0.021406,4
27,2251,0.002506,4
27,2490,0.002534,4
27,2795,0.039741,4
27,2902,0.020234,4
27,3515,0.035716,4
27,3774,0.040722,4
27,3826,0.007109,4
27,4783,0.024218,4
27,4955,0.031233,4
27,5084,0.00233,4
27,5169,0.010982,4
27,5386,0.026241,4
27,5488,0.015805,4
27,5509,0.060882,4
27,5547,0.01684,4
