row,col,val,type
0,10983,1.0,1
0,13952,0.2382959999999999,1
1,10983,1.0,1
1,13952,0.2337719999999999,1
2,10983,1.0,1
2,13952,0.228774,1
3,8450,1.0,1
3,10949,0.1327312,1
3,12411,0.1327312,1
3,13575,0.033957950208,1
4,8450,1.0,1
4,10949,0.1357336,1
4,12411,0.1357336,1
4,13575,0.034726084,1
5,8450,1.0,1
5,10949,0.1327312,1
5,12411,0.1327312,1
5,13575,0.033957950208,1
6,8450,0.1357336,1
6,10949,1.0,1
6,12411,1.0,1
6,13575,0.25584,1
7,10616,1.0,1
8,9383,0.021042239136,1
8,9453,0.270156,1
8,10803,0.0567168,1
8,12507,0.016846024,1
8,13074,0.015303039,1
8,15083,0.466782,1
9,9801,0.053712,1
9,11851,0.208752,1
10,8399,1.0,1
11,8399,1.0,1
12,7689,0.0207593992704,1
12,8399,1.0,1
12,9255,0.0010740412416,1
13,7689,0.0274393662144,1
13,8399,1.0,1
13,9255,0.0014196466176,1
14,7689,0.0210848139936,1
14,8399,1.0,1
14,9255,0.0010908774144,1
15,8399,1.0,1
16,7689,0.0218268206016,1
16,8399,1.0,1
16,9255,0.0011292670464,1
17,7689,0.0222457014528,1
17,8399,1.0,1
17,9255,0.0011509389312,1
18,7689,0.0220461798816,1
18,8399,1.0,1
18,9255,0.0011406161664,1
19,7689,0.0212458046304,1
19,8399,1.0,1
19,9255,0.0010992066816,1
20,7689,0.0212458046304,1
20,8399,1.0,1
20,9255,0.0010992066816,1
21,7689,0.0212458046304,1
21,8399,1.0,1
21,9255,0.0010992066816,1
22,7689,0.0212458046304,1
22,8399,1.0,1
22,9255,0.0010992066816,1
23,7689,0.0211477605696,1
23,8399,1.0,1
23,9255,0.0010941341184,1
24,7689,0.0211794246048,1
24,8399,1.0,1
24,9255,0.0010957723392,1
25,7689,0.0213537675456,1
25,8399,1.0,1
25,9255,0.0011047924224,1
26,7689,0.0210180524736,1
26,8399,1.0,1
26,9255,0.0010874233344,1
27,7689,0.021699401,1
27,8399,1.0,1
27,9255,0.001122674688,1
28,8399,1.0,1
29,7689,0.0215998314336,1
29,8399,1.0,1
29,9255,0.0011175231744,1
30,7689,0.021699401,1
30,8399,1.0,1
30,9255,0.001122674688,1
31,7689,0.0216913900896,1
31,8399,1.0,1
31,9255,0.0011222601984,1
32,8399,1.0,1
33,8399,1.0,1
34,10404,1.0,1
35,10404,1.0,1
36,10404,1.0,1
37,12173,0.0094657254384,1
38,12173,0.0093480185568,1
39,7172,0.0487488,1
40,7172,0.0481016,1
41,7172,0.0486816,1
42,10283,1.0,1
42,14384,0.3386575,1
43,10283,1.0,1
43,14384,0.221675,1
44,10283,1.0,1
44,14384,0.207685,1
45,10214,0.307692,1
46,8111,0.0494656,1
46,8192,0.0888239999999999,1
46,13703,0.016638002,1
46,14942,0.0043284378623999,1
47,7164,0.4128325,1
47,10063,0.433674,1
48,9570,0.2086396273104,1
48,15358,0.595278,1
48,15546,0.529356,1
49,9570,0.459294,1
49,15358,1.0,1
49,15546,0.3181374999999999,1
50,9570,0.3063443213424,1
50,15358,0.6669896,1
50,15546,0.2253455787456,1
51,7495,0.0450096,1
51,9707,0.35067,1
51,10298,0.0157222133567999,1
51,11048,0.282798,1
51,11727,0.0033695086752,1
51,11736,0.0057854439648,1
51,12169,0.01757985,1
51,12897,0.0073490774687999,1
51,15366,0.387805,1
52,9665,0.017699711,1
52,9735,0.15918,1
52,14570,0.5093880000000001,1
53,9665,0.325482,1
53,9735,0.555408,1
53,14570,0.328452,1
54,10210,1.0,1
54,10574,0.0241894290624,1
54,14562,0.0497056,1
55,11414,1.0,1
56,7822,1.0,1
57,7832,0.060960222288,1
57,8012,0.0115045231536,1
57,8891,0.1140168,1
57,9803,0.0523733890464,1
57,11545,0.544308,1
58,7687,1.0,1
59,7687,1.0,1
59,9105,0.01367637,1
59,9162,0.0461416,1
59,9252,0.044992,1
59,10717,0.0142583080992,1
59,11759,0.0225039965856,1
59,14083,0.0043396174799999,1
59,14409,0.005475166,1
59,14671,0.0177208660464,1
60,7687,1.0,1
60,9105,0.0133628976,1
60,9162,0.045084,1
60,9252,0.0449368,1
60,10717,0.013931497008,1
60,11759,0.021988188,1
60,14083,0.0042401501999999,1
60,14409,0.0054684490656,1
60,14671,0.017314690536,1
61,7169,0.0416056,1
61,7687,1.0,1
61,9049,0.0492264,1
61,9105,0.0267968795519999,1
61,9162,0.0696976,1
61,9199,0.0204851725488,1
61,9252,0.0793984,1
61,10717,0.0215373947712,1
61,11719,0.017337469576,1
61,11759,0.0339926346816,1
61,11964,0.0048518786495999,1
61,12123,0.0046737746111999,1
61,14083,0.0223871070048,1
61,14409,0.0096621500928,1
61,14671,0.0267676420704,1
61,14921,0.0269806944816,1
61,15446,0.0232473786335999,1
62,7687,1.0,1
62,9105,0.0133628976,1
62,9162,0.045084,1
62,9252,0.0453424,1
62,10717,0.013931497008,1
62,11759,0.021988188,1
62,14083,0.0042401501999999,1
62,14409,0.0055178073408,1
62,14671,0.017314690536,1
63,7169,0.043936,1
63,7687,1.0,1
63,9049,0.0507008,1
63,9105,0.0275829623039999,1
63,9162,0.0710584,1
63,9199,0.0210987323136,1
63,9252,0.0814064,1
63,10717,0.0219578983008,1
63,11719,0.018308571,1
63,11759,0.0346563186144,1
63,11964,0.005123641,1
63,12123,0.0048108791423999,1
63,14083,0.0230438296896,1
63,14409,0.0099065076288,1
63,14671,0.0272902627535999,1
63,14921,0.0277888042752,1
63,15446,0.0245495036159999,1
64,7687,1.0,1
64,9105,0.013402497,1
64,9162,0.0452176,1
64,9252,0.0452056,1
64,10717,0.0139727810112,1
64,11759,0.0220533470016,1
64,14083,0.0042527152799999,1
64,14409,0.0055011598752,1
64,14671,0.0173660001504,1
65,7687,1.0,1
66,7687,1.0,1
66,9105,0.01325453376,1
66,9162,0.0447184,1
66,9252,0.0442624,1
66,10717,0.0138185222208,1
66,11759,0.0218098791744,1
66,14083,0.0042057655199999,1
66,14409,0.0053863799808,1
66,14671,0.0171742803936,1
67,7169,0.0444808,1
67,7687,1.0,1
67,9049,0.0514416,1
67,9105,0.02809502,1
67,9162,0.0709784,1
67,9199,0.0214070103072,1
67,9252,0.0820672,1
67,10717,0.0219331773408,1
67,11719,0.018535594168,1
67,11759,0.0346173013344,1
67,11964,0.0051871729728,1
67,12123,0.0049001896032,1
67,14083,0.0234716215728,1
67,14409,0.0099869217024,1
67,14671,0.0272595384336,1
67,14921,0.0281948323104,1
67,15446,0.0248539138847999,1
68,7169,0.0444808,1
68,7687,1.0,1
68,9049,0.0514416,1
68,9105,0.02809502,1
68,9162,0.0709784,1
68,9199,0.0214070103072,1
68,9252,0.0820664,1
68,10717,0.0219331773408,1
68,11719,0.018535594168,1
68,11759,0.0346173013344,1
68,11964,0.0051871729728,1
68,12123,0.0049001896032,1
68,14083,0.0234716215728,1
68,14409,0.0099868243488,1
68,14671,0.0272595384336,1
68,14921,0.0281948323104,1
68,15446,0.0248539138847999,1
69,7169,0.0444808,1
69,7687,1.0,1
69,9049,0.0514416,1
69,9105,0.02809502,1
69,9162,0.0709784,1
69,9199,0.0214070103072,1
69,9252,0.0820664,1
69,10717,0.0219331773408,1
69,11719,0.018535594168,1
69,11759,0.0346173013344,1
69,11964,0.0051871729728,1
69,12123,0.0049001896032,1
69,14083,0.0234716215728,1
69,14409,0.0099868243488,1
69,14671,0.0272595384336,1
69,14921,0.0281948323104,1
69,15446,0.0248539138847999,1
70,7687,1.0,1
70,9105,0.013349856,1
70,9162,0.04504,1
70,9252,0.0449864,1
70,10717,0.01391790048,1
70,11759,0.02196672864,1
70,14083,0.0042360119999999,1
70,14409,0.0054744849888,1
70,14671,0.01729779216,1
71,7169,0.0444808,1
71,7687,1.0,1
71,9049,0.0514416,1
71,9105,0.02809502,1
71,9162,0.0709784,1
71,9199,0.0214070103072,1
71,9252,0.0820672,1
71,10717,0.0219331773408,1
71,11719,0.018535594168,1
71,11759,0.0346173013344,1
71,11964,0.0051871729728,1
71,12123,0.0049001896032,1
71,14083,0.0234716215728,1
71,14409,0.0099869217024,1
71,14671,0.0272595384336,1
71,14921,0.0281948323104,1
71,15446,0.0248539138847999,1
72,7169,0.0444808,1
72,7687,1.0,1
72,9049,0.0514416,1
72,9105,0.02809502,1
72,9162,0.0709784,1
72,9199,0.0214070103072,1
72,9252,0.0820664,1
72,10717,0.0219331773408,1
72,11719,0.018535594168,1
72,11759,0.0346173013344,1
72,11964,0.0051871729728,1
72,12123,0.0049001896032,1
72,14083,0.0234716215728,1
72,14409,0.0099868243488,1
72,14671,0.0272595384336,1
72,14921,0.0281948323104,1
72,15446,0.0248539138847999,1
73,7687,1.0,1
73,9105,0.01329437,1
73,9162,0.0448528,1
73,9252,0.0445296,1
73,10717,0.0138600534336,1
73,11759,0.0218754282048,1
73,14083,0.0042184058399999,1
73,14409,0.0054188960832,1
73,14671,0.0172258972512,1
74,7687,1.0,1
74,9105,0.01329437,1
74,9162,0.0448528,1
74,9252,0.0445296,1
74,10717,0.0138600534336,1
74,11759,0.0218754282048,1
74,14083,0.0042184058399999,1
74,14409,0.0054188960832,1
74,14671,0.0172258972512,1
75,7687,1.0,1
75,9105,0.013586028,1
75,9162,0.0458368,1
75,9252,0.0455528,1
75,10717,0.0141641212416,1
75,11759,0.0223553407488,1
75,14083,0.0043109510399999,1
75,14409,0.0055434113376,1
75,14671,0.0176038063872,1
76,7687,1.0,1
76,9105,0.01329437,1
76,9162,0.0448528,1
76,9252,0.0445296,1
76,10717,0.0138600534336,1
76,11759,0.0218754282048,1
76,14083,0.0042184058399999,1
76,14409,0.0054188960832,1
76,14671,0.0172258972512,1
77,7687,1.0,1
77,9105,0.01304491968,1
77,9162,0.0440112,1
77,9252,0.0429888,1
77,10717,0.0135999889344,1
77,11759,0.0214649664192,1
77,14083,0.0041392533599999,1
77,14409,0.0052313930496,1
77,14671,0.0169026774048,1
78,7687,1.0,1
78,9105,0.01304491968,1
78,9162,0.0440112,1
78,9252,0.0429888,1
78,10717,0.0135999889344,1
78,11759,0.0214649664192,1
78,14083,0.0041392533599999,1
78,14409,0.0052313930496,1
78,14671,0.0169026774048,1
79,7687,1.0,1
79,9105,0.01343759,1
79,9162,0.045336,1
79,9252,0.0454168,1
79,10717,0.014009368032,1
79,11759,0.022111093,1
79,14083,0.0042638507999999,1
79,14409,0.0055268612256,1
79,14671,0.017411472,1
80,7687,1.0,1
80,9105,0.012145049,1
80,9162,0.0409752,1
80,10717,0.0126618285024,1
80,11759,0.0199842606432,1
80,14083,0.0038537175599999,1
80,14671,0.0157366894608,1
81,7687,1.0,1
81,9105,0.012145049,1
81,9162,0.0409752,1
81,10717,0.0126618285024,1
81,11759,0.0199842606432,1
81,14083,0.0038537175599999,1
81,14671,0.0157366894608,1
82,7687,1.0,1
83,7687,1.0,1
84,7687,1.0,1
85,7687,1.0,1
86,7687,1.0,1
87,7687,1.0,1
88,7687,1.0,1
89,7687,1.0,1
90,7687,1.0,1
91,7687,1.0,1
91,9252,0.0429456,1
91,14409,0.0052261359552,1
92,7687,1.0,1
93,7687,1.0,1
94,8213,0.336516,1
94,8424,1.0,1
94,14589,0.3409739999999999,1
95,12089,0.28257,1
96,12089,0.2522279999999999,1
97,12089,0.248784,1
98,12089,0.217464,1
99,14008,0.3582674999999999,1
100,10841,1.0,1
100,12571,0.0325456879104,1
100,13594,0.0297671318784,1
100,14225,0.0136484441856,1
101,10841,1.0,1
102,10841,0.6996592,1
103,10841,0.6196568,1
104,10841,0.6996592,1
105,10841,0.7730288000000001,1
106,10841,0.7730288000000001,1
107,10841,0.678172,1
108,10841,0.7730288000000001,1
109,8514,1.0,1
109,14652,0.2158559999999999,1
110,8514,1.0,1
110,14652,0.1982639999999999,1
111,8514,1.0,1
111,14652,0.165894,1
112,8514,1.0,1
112,14652,0.1583815309824,1
113,8514,1.0,1
113,14652,0.1580384549568,1
114,8514,1.0,1
114,14652,0.1581524964095999,1
115,8514,1.0,1
115,14652,0.152556,1
116,8514,1.0,1
116,14652,0.158267014,1
117,8514,1.0,1
117,14652,0.1582673309183999,1
118,8514,1.0,1
118,14652,0.1582673309183999,1
119,8514,1.0,1
119,14652,0.1582673309183999,1
120,8514,1.0,1
120,14652,0.1581521791872,1
121,8514,1.0,1
121,14652,0.1582673309183999,1
122,8514,1.0,1
122,14652,0.1576137340799999,1
123,8514,1.0,1
123,14652,0.1582673309183999,1
124,8514,1.0,1
124,14652,0.1582673309183999,1
125,8514,1.0,1
125,14652,0.1582673309183999,1
126,8514,1.0,1
126,14652,0.1581520205759999,1
127,8514,1.0,1
127,14652,0.1581520205759999,1
128,8514,1.0,1
128,14652,0.1582673309183999,1
129,8514,0.790224,1
129,14652,0.1563279917759999,1
130,8514,0.7988424000000001,1
130,14652,0.1580384549568,1
131,8514,0.7856344000000001,1
131,14652,0.1554188323775999,1
132,8514,0.7787048000000001,1
132,14652,0.1540473213312,1
133,8514,0.6578616,1
133,14652,0.1301100362496,1
134,8950,0.7850112,1
134,12107,0.2496359999999999,1
135,8950,0.534018,1
135,12107,0.247302,1
136,8950,0.541422,1
136,12107,0.239898,1
137,8950,0.542886,1
137,12107,0.238434,1
138,8950,0.7832848000000001,1
138,12107,0.228186,1
139,8950,0.7832848000000001,1
139,12107,0.227922,1
140,8950,0.7924984,1
140,12107,0.2232779999999999,1
141,8950,0.7832848000000001,1
141,12107,0.221736,1
142,8950,0.7906848000000001,1
142,12107,0.218106,1
143,8950,0.7276176000000001,1
143,12107,0.20487,1
144,8950,0.7276176000000001,1
144,12107,0.201786,1
145,8950,0.7276176000000001,1
145,12107,0.201066,1
146,8950,0.7276176000000001,1
146,12107,0.200676,1
147,8950,0.7276176000000001,1
147,12107,0.198168,1
148,8950,0.7276176000000001,1
148,12107,0.19449,1
149,8950,0.7276176000000001,1
149,12107,0.19404,1
150,8950,0.7276176000000001,1
150,12107,0.1928474844912,1
151,8950,0.7924224,1
151,12107,0.1950338167008,1
152,8950,0.7962848,1
152,12107,0.1941686781792,1
153,8950,1.0,1
153,12107,0.1922988046847999,1
154,8950,1.0,1
154,12107,0.1690019999999999,1
155,8950,1.0,1
155,12107,0.1922988046847999,1
156,8950,1.0,1
156,12107,0.1922988046847999,1
157,8950,1.0,1
157,12107,0.1931749271903999,1
158,8950,1.0,1
158,12107,0.1931749271903999,1
159,8950,1.0,1
159,12107,0.1922988046847999,1
160,8950,1.0,1
160,12107,0.1922988046847999,1
161,8950,1.0,1
161,12107,0.1959670559232,1
162,8950,1.0,1
162,12107,0.1922988046847999,1
163,8950,1.0,1
163,12107,0.11796,1
164,8950,1.0,1
164,12107,0.1922988046847999,1
165,8950,1.0,1
165,12107,0.1922988046847999,1
166,8950,1.0,1
166,12107,0.1922988046847999,1
167,8950,1.0,1
167,12107,0.1922988046847999,1
168,8950,1.0,1
168,12107,0.1922988046847999,1
169,8950,1.0,1
169,12107,0.1922988046847999,1
170,8950,1.0,1
170,12107,0.1922988046847999,1
171,8950,1.0,1
171,12107,0.1922988046847999,1
172,8950,1.0,1
172,12107,0.1922988046847999,1
173,8950,1.0,1
173,12107,0.1922988046847999,1
174,8950,1.0,1
174,12107,0.1922988046847999,1
175,8950,1.0,1
175,12107,0.1922988046847999,1
176,8950,1.0,1
176,12107,0.1922988046847999,1
177,8950,1.0,1
177,12107,0.1922988046847999,1
178,8950,1.0,1
178,12107,0.1922988046847999,1
179,8950,1.0,1
179,12107,0.1922988046847999,1
180,8950,1.0,1
180,12107,0.1922988046847999,1
181,8950,1.0,1
182,8950,1.0,1
182,12107,0.1922988046847999,1
183,8950,1.0,1
